instance,gold_feasible,gold_optimum,direct_valid_gold,direct_violations,direct_cost,direct_ratio,pipe_status,pipe_valid_extracted,pipe_valid_gold,pipe_optimal_gold,pipe_infeasible_detected,extract_attempts,extract_repaired,fid_f1,fid_exact,failure_modes,t_extract,t_solve,t_verify
inst00,True,71.0,0.0,1,,,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.0005538629999932709,0.004587818000004518,9.958200001847217e-05
inst01,True,89.0,0.0,1,,,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.00042680000001382723,0.001215588000036405,8.426800002325763e-05
inst02,True,38.0,1.0,0,38.0,1.0,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.00040036400002918526,0.0007314519999681579,6.626200001846883e-05
inst03,True,61.0,1.0,0,69.0,1.1311475409836065,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.0005799099999990176,0.0019659719999935987,8.558900003663439e-05
inst04,True,22.0,1.0,0,26.0,1.1818181818181819,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.000742162000051394,0.0012327039999604494,5.8749999993779056e-05
inst05,False,,,1,,,INFEASIBLE,,,,1.0,1,0.0,1.0,1.0,,0.00042822000000342086,0.0010062759999982518,0.0004367779999938648
inst06,True,36.0,1.0,0,55.0,1.5277777777777777,SOLVED,1.0,1.0,1.0,,2,1.0,1.0,1.0,hallucinate_entity,0.0008748989999958212,0.002052501999969536,8.304700003236576e-05
inst07,True,69.0,1.0,0,83.0,1.2028985507246377,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.0005002980000199386,0.011244271000009576,0.00012087499999324791
inst08,True,81.0,1.0,0,84.0,1.037037037037037,SOLVED,1.0,1.0,0.0,,1,0.0,0.9523809523809523,0.0,perturb_number,0.000438459999998031,0.004080168000029971,0.0001073679999876731
inst09,True,47.0,0.0,2,,,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.0005785520000358702,0.0032107039999687004,0.00013715600005070883
inst10,True,81.0,0.0,1,,,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.0009271420000231956,0.03713025099995093,0.00020769999997583
inst11,False,,,6,,,INFEASIBLE,,,,1.0,1,0.0,1.0,1.0,,0.0005139569999528248,0.0010774300000093717,0.00047216900003377305
inst12,True,47.0,0.0,1,,,SOLVED,1.0,0.0,0.0,,1,0.0,0.9818181818181818,0.0,drop_demand,0.0004751599999508471,0.0054582369999707225,0.00011332799999763665
inst13,True,47.0,0.0,1,,,SOLVED,1.0,1.0,1.0,,1,0.0,0.9811320754716981,0.0,drop_preference,0.0005123430000253393,0.005124557999977242,0.00010321100000965089
inst14,True,0.0,0.0,1,,,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.0004328730000224823,0.0014846409999904608,0.00010362999995550126
inst15,True,56.0,0.0,2,,,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.00055298600000242,0.004574138000009498,0.0001200279999693521
inst16,True,40.0,1.0,0,58.0,1.45,SOLVED,1.0,1.0,1.0,,2,1.0,1.0,1.0,hallucinate_entity,0.0010105840000278477,0.21371972299999697,0.0001492860000098517
inst17,False,,,3,,,INFEASIBLE,,,,1.0,1,0.0,1.0,1.0,,0.00043851999998878455,0.0008795840000175303,0.0003827209999940351
inst18,True,55.0,0.0,1,,,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.0004945360000192522,0.008579241999996157,0.00010270599995010343
inst19,True,37.0,1.0,0,60.0,1.6216216216216217,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.00040336399996476757,0.003579129999991437,9.030199998960597e-05
inst20,True,50.0,0.0,3,,,SOLVED,1.0,1.0,1.0,,1,0.0,1.0,1.0,,0.00047114800003100754,0.006573227999979281,0.00011156300001857744
