instance,engine,status,cost,time,vars,hard,soft,max_weight,iterations,cores,mean_core_size,agrees,n_complete
sched/inst00,RC2,OPTIMUM,71.0,0.006092738999996072,117,204,42,12,,,,True,1
sched/inst00,RC2-plain,OPTIMUM,71.0,0.0064377229999763586,117,204,42,12,,,,True,1
sched/inst00,WPM1 (this notebook),OPTIMUM,71.0,0.005594832999975097,117,204,42,12,18.0,17.0,5.29,True,1
sched/inst00,LSU (unweighted only),UNSUPPORTED,,,117,204,42,12,,,,True,1
sched/inst01,RC2,OPTIMUM,89.0,0.0012660080000159724,89,170,34,12,,,,True,1
sched/inst01,RC2-plain,OPTIMUM,89.0,0.0010673060000385703,89,170,34,12,,,,True,1
sched/inst01,WPM1 (this notebook),OPTIMUM,89.0,0.0026745389999973668,89,170,34,12,11.0,10.0,1.9,True,1
sched/inst01,LSU (unweighted only),UNSUPPORTED,,,89,170,34,12,,,,True,1
sched/inst02,RC2,OPTIMUM,38.0,0.0007838839999863012,61,107,28,8,,,,True,1
sched/inst02,RC2-plain,OPTIMUM,38.0,0.0009244059999673482,61,107,28,8,,,,True,1
sched/inst02,WPM1 (this notebook),OPTIMUM,38.0,0.0019936969999889698,61,107,28,8,8.0,7.0,1.86,True,1
sched/inst02,LSU (unweighted only),UNSUPPORTED,,,61,107,28,8,,,,True,1
sched/inst03,RC2,OPTIMUM,61.0,0.0020327860000293185,116,219,44,12,,,,True,1
sched/inst03,RC2-plain,OPTIMUM,61.0,0.0016924589999689488,116,219,44,12,,,,True,1
sched/inst03,WPM1 (this notebook),OPTIMUM,61.0,0.0043497959999854174,116,219,44,12,15.0,14.0,4.21,True,1
sched/inst03,LSU (unweighted only),UNSUPPORTED,,,116,219,44,12,,,,True,1
sched/inst04,RC2,OPTIMUM,22.0,0.001154961999986881,96,244,39,8,,,,True,1
sched/inst04,RC2-plain,OPTIMUM,22.0,0.0010007419999737976,96,244,39,8,,,,True,1
sched/inst04,WPM1 (this notebook),OPTIMUM,22.0,0.001384957000027498,96,244,39,8,5.0,4.0,1.75,True,1
sched/inst04,LSU (unweighted only),UNSUPPORTED,,,96,244,39,8,,,,True,1
sched/inst06,RC2,OPTIMUM,36.0,0.002217957999960163,95,179,34,12,,,,True,1
sched/inst06,RC2-plain,OPTIMUM,36.0,0.0016482759999689733,95,179,34,12,,,,True,1
sched/inst06,WPM1 (this notebook),OPTIMUM,36.0,0.005002988000001096,95,179,34,12,14.0,13.0,6.92,True,1
sched/inst06,LSU (unweighted only),UNSUPPORTED,,,95,179,34,12,,,,True,1
sched/inst07,RC2,OPTIMUM,69.0,0.0133835450000106,188,355,48,8,,,,True,1
sched/inst07,RC2-plain,OPTIMUM,69.0,0.026016765999997915,188,355,48,8,,,,True,1
sched/inst07,WPM1 (this notebook),OPTIMUM,69.0,0.011559733000012784,188,355,48,8,21.0,20.0,9.05,True,1
sched/inst07,LSU (unweighted only),UNSUPPORTED,,,188,355,48,8,,,,True,1
randw/nv10,RC2,OPTIMUM,5.0,0.001040046000014172,10,40,15,5,,,,True,1
randw/nv10,RC2-plain,OPTIMUM,5.0,0.0005143970000176523,10,40,15,5,,,,True,1
randw/nv10,WPM1 (this notebook),OPTIMUM,5.0,0.0016503900000088834,10,40,15,5,6.0,5.0,3.6,True,1
randw/nv10,LSU (unweighted only),UNSUPPORTED,,,10,40,15,5,,,,True,1
randw/nv14,RC2,OPTIMUM,18.0,0.0007510720000141191,14,56,21,5,,,,True,1
randw/nv14,RC2-plain,OPTIMUM,18.0,0.0009091459999694962,14,56,21,5,,,,True,1
randw/nv14,WPM1 (this notebook),OPTIMUM,18.0,0.01165706599999794,14,56,21,5,15.0,14.0,4.21,True,1
randw/nv14,LSU (unweighted only),UNSUPPORTED,,,14,56,21,5,,,,True,1
randw/nv18,RC2,OPTIMUM,16.0,0.0020649940000225797,18,72,27,5,,,,True,1
randw/nv18,RC2-plain,OPTIMUM,16.0,0.002033546000006936,18,72,27,5,,,,True,1
randw/nv18,WPM1 (this notebook),OPTIMUM,16.0,0.007975161999979719,18,72,27,5,16.0,15.0,5.0,True,1
randw/nv18,LSU (unweighted only),UNSUPPORTED,,,18,72,27,5,,,,True,1
randw/nv22,RC2,OPTIMUM,28.0,0.0011383819999650768,22,88,33,5,,,,True,1
randw/nv22,RC2-plain,OPTIMUM,28.0,0.0023846860000276138,22,88,33,5,,,,True,1
randw/nv22,WPM1 (this notebook),OPTIMUM,28.0,0.005990956999994523,22,88,33,5,18.0,17.0,5.35,True,1
randw/nv22,LSU (unweighted only),UNSUPPORTED,,,22,88,33,5,,,,True,1
randw/nv26,RC2,OPTIMUM,22.0,0.0023406899999827147,26,104,39,5,,,,True,1
randw/nv26,RC2-plain,OPTIMUM,22.0,0.001599345999977686,26,104,39,5,,,,True,1
randw/nv26,WPM1 (this notebook),OPTIMUM,22.0,0.004889620000028572,26,104,39,5,15.0,14.0,4.93,True,1
